question,output
Who established the Great Race?,richard s. caliguiri
What distinction does the Great Race hold in Pennsylvania?,largest 10k race in pennsylvania
What has the Great Race expanded to include beyond the original race?,
What distinction does Reel Q hold among LGBTQ+ film festivals?,sixth oldest lgbtq + film festival in the world
How long has Reel Q been running in Pittsburgh?,10 days
How many feature films does Reel Q typically screen?,approximately 20
What does Kennywood showcase during the holiday season?,millions of festive lights
What is the mission of Pittsburgh's Environmental Services?,"to establish and maintain a refuse and recycling system that promotes a safe, litter - free and environmentally friendly city for all of its residents and customers"
What services does Environmental Services provide to Pittsburgh residents?,"collection services to promote environmentally friendly disposal of your trash, recycling, and yard debris. the mission of environmental services is to establish and maintain a refuse and recycling system that promotes a safe, litter - free and environmentally friendly city for all of its residents and customers. this site uses cookies to enhance your experience. = = = trash & recycling - pittsburgh, pa ( web : https : / / www. pittsburghpa. gov / resident - services / trash - recycling ) = = = the mission of environmental services is to establish and maintain a refuse and recycling system that promotes a safe, litter - free and environmentally friendly city for all of its residents and customers"
What is required of special event organizers expecting more than 200 individuals per day?,
What is the ten-digit phone number for Pittsburgh's 311 Response Center?,412 - 255 - 2621
Can service requests to 311 be sent anonymously?,requests can be sent anonymously if you do not require a response
How can residents reserve a park shelter in Pittsburgh?,by appointment only
What email address should be used to schedule a park shelter reservation if unable to use the online service?,dpwfields & parkshelters @ pittsburghpa. gov
"What types of licenses does the Department of Permits, Licenses, and Inspections issue?","building, electrical, mechanical, occupancy, demolition, fire sprinkler, and fire alarm permits"
What is the name of Pittsburgh's central hub for residents to apply for business licenses and permits?,pittsburgh downtown partnership
How many parks does Pittsburgh's park system include?,176
How many acres of parkland does Pittsburgh's park system cover?,"3, 800"
What are the different types of parks in Pittsburgh's system?,iconic regional parks to community and neighborhood parks
Where is the Bank Tower located according to the contact information?,##307 fourth avenue
What are the types of teams mentioned that the Pittsburgh Downtown Partnership is seeking individuals to join?,clean & outreach teams
What type of activities do Outreach ambassadors perform according to the document?,"meetings, workshops, and community sponsored events"
What is one of the tasks performed by Clean Team members?,volunteering
What year is mentioned in the copyright notice at the bottom of many pages?,2018
What is the contact phone number for the Pittsburgh Downtown Partnership?,
What email option is provided for contacting the Pittsburgh Downtown Partnership?,
Which historic building is mentioned as being located at 210 Sixth Avenue?,k & l gates center
What is the name of the new retail space for entrepreneurs that was set to open in the fall?,ensemble on fifth
How much investment has Downtown Pittsburgh received since 2006 according to the document?,
What month and day is St. Patrick's Day scheduled for in 2025?,
"What volunteer opportunity is mentioned for April 26 - May 3, 2025?",
What is the estimated annual spending power in Downtown Pittsburgh mentioned in the document?,
How many residents are mentioned to be in Downtown Pittsburgh in the retail section?,"31, 000"
How many workers are mentioned to be in Downtown Pittsburgh in the retail section?,"130, 000"
What type of program does the Pittsburgh Downtown Partnership coordinate to engage with patrons?,small business spotlight program
What is the maximum monthly rent subsidy offered in the Downtown Rent Abatement Program?,50 %
What is the cap on the number of months for the rent subsidy in the Downtown Rent Abatement Program?,"$ 2, 000"
What is required before applying for the Downtown Rent Abatement Program?,"the funds will be paid directly to the property owner or management, in accordance with the lease"
Who should potential DRAP applicants consult with before applying?,
What percentage of monthly rent can be subsidized through the DRAP program?,50 %
What type of lease is required for the Downtown Rent Abatement Program?,multi - year lease
Where can someone submit an event or activity for inclusion in the Downtown calendar?,
What can be found on the CMU Alumni Association Board according to the document?,what can be found on the cmu alumni association board according to the document? partners. volunteers. leaders. alumni. friends
What is highlighted as a common characteristic of AAB members?,dedication and love
What is the Carnegie Mellon quoted cutoff date for reliable knowledge?,2025
Who won the US Presidential election in 2024 according to the document?,
Who was defeated in the 2024 US Presidential election?,
When was Donald Trump inaugurated according to the document?,
What is the date listed for the next Downtown Development Activities Meeting?,march 13
What platform will be used for the Downtown Development Activities Meeting in March?,mailchimp
What is the Meeting ID for the Downtown Development Activities Meeting in March?,dam
What is the passcode for the Downtown Development Activities Meeting in March?,dam
What is the VCA mentioned in relation to volunteering?,
"What entity partnered with PDP to develop a ""Playbook-for-Retail-Success""?",duquesne mba students
Where is PiratesFest 2025 scheduled to be held?,
What is presenting PiratesFest 2025?,special ticket events
What special access do Pirates Season Ticket Holders get for PiratesFest?,"what special access do pirates season ticket holders get for piratesfest? from group outings, to season tickets, and everything in between, we have the perfect ticket option for you! complete the form below and a pirates representative will be in touch with more information. check out the many ways to save on your next trip to pnc park! each ticket includes early access to pnc park, plus loaded value so you can enjoy your first beverage at the miller lite landing bar on us! spend an afternoon cheering on the bucs and lunch is included with your game ticket! your purchase includes $ 12 loaded value on each ticket. students can save up to 40 % on pirates tickets with a valid student id through student beans! enjoy discounted lower and upper level tickets to select pirates home games. save big on pirates tickets this season with your giant eagle loyalty card! enjoy discounted lower and upper level tickets to select pirates home games. plus, a portion of each ticket sold will be donated to 412 food rescue. the pirates & 84 lumber honor and thank our military, and their families, with special discounted pricing on all games. save big on pirates tickets this season with your pittsburgh pirates pnc bank visa® debit card"
What are the general public hours for PiratesFest?,"what are the general public hours for piratesfest? outside food and beverage is not permitted entry into the home plate club, suite level or the left field lounge areas. pnc park offers complimentary admission to children under 32 "" in height. however, we do request that these children sit in their parent or guardian ' s lap and not occupy an additional seat. group tickets are a flat rate price for both children and adults. gates will open one and one - half ( 1 1⁄2 ) hours before game time for all start times excluding 6 : 40 p. m. games where gates will only open one ( 1 ) hour before game time monday - thursday and one and one - half ( 1 1⁄2 ) hours before game time friday - saturday"
What was the amount of investment mentioned that Downtown Pittsburgh surpassed in the last ten years in the retail environment?,$ 4. 5 billion
"What is the name of the report that gives meaning to data, statistics, and trends produced by PDP?",state of downtown pittsburgh snapshot reports
What is the status of Carnegie Mellon Today according to the FAQ section?,"the future is now, and you can be a part of it today"
During what years was Carnegie Mellon Today distributed as a web-based publication?,
What is required to access and use the CUC fitness facilities?,what is required to access and use the cuc fitness facilities? only those with a valid cmu id
What time do university parking lots open to the public at no charge?,after 5 p. m. each day and during the weekends
How many visitor parking spaces are available by prior reservation in the Alumni House parking lot?,two
What type of email address does CMU offer to alumni?,full @ alumni. cmu. edu
What powers the alumni email accounts at CMU?,g suite
What feature of the alumni email accounts provides unlimited storage?,g suite
What happens to a student's @andrew.cmu.edu email alias approximately 90 days after graduation?,cease to function
What is the deadline mentioned for alumni to enroll in two-factor authentication for their alumni email?,"december 15, 2021"
What scholarship percentage is available for CMU's new online graduate certificate programs for alumni?,20 %
What is the name of the event that has been one of the most anticipated weekends of the year for over 100 years at CMU?,spring carnival
What event allows Tartans from around the world to return to campus in the spring?,"spring carnivalfor more than 100 years, spring carnival"
What activities are mentioned as part of Spring Carnival?,"booth, buggy, the kiltie band concert and scotch ' n ' soda performances"
When does the Pittsburgh Technology Council's HBCU Swingman Classic take place?,
Where is the HBCU Swingman Classic scheduled to be held?,
Where is the All-Star Saturday event scheduled to be held in 2025?,truist park
What is the date for the T-Mobile Home Run Derby in 2025?,july 11
Where will the T-Mobile Home Run Derby be held?,truist park
What is the date for the MLB All-Star Game in 2025?,
What company is presenting the MLB All-Star Game in 2025?,guggenheim
Where is the MLB Speedway Classic scheduled to be held?,
What date is the MLB Speedway Classic scheduled for?,"august 17, 2025"
Which teams will play in the MLB Little League Classic in 2025?,new york life 2025 mlb pittsburgh pirates
Where will the MLB Little League Classic be held?,atlanta
When is the MLB Little League Classic scheduled?,"when is the mlb little league classic scheduled? historic bowman fieldwilliamsport, pennsylvaniaaugust 17, 2025 starts february 20, 2025 march 27, 2025 april 15 june 1 - 2, 2025 september 15 mlb spring breakout mlb world tour : tokyo series presented by guggenheim mlb in monterrey hbcu swingman classic presented by t - mobile mlb all - star saturday t - mobile home run derby mlb all - star game presented by mastercard mlb speedway classic presented by buildsubmarines. com mlb little league classic presented by new york life estadio mobil supermonterrey, nuevo leon, mexicomarch 24 - 25, 2025"
Who is presenting the MLB Little League Classic?,t - mobile
What is the date when the Dodgers and Cubs will play to open the 2025 MLB regular season?,march 18
Where will the opening 2025 MLB regular season games between the Dodgers and Cubs be played?,
What is the name of the series presenting the opening games between the Dodgers and Cubs?,
What venue will host the exhibition games between the Boston Red Sox and the Sultanes de Monterrey?,tokyo dometokyo
On what dates will the Red Sox and Sultanes de Monterrey play their exhibition games?,"march 24 - 25, 2025"
In which country will the Red Sox and Sultanes de Monterrey exhibition games be played?,mexico
What pitcher dealt with right lat tightness during Spring Training for the Pirates?,
What injury did Pirates catcher Endy Rodríguez suffer that caused him to miss the entire 2024 season?,ucl reconstruction surgery on his right elbow as well as a repair of his right flexor tendon
Which Pirates player suffered a partial tear of his left Achilles tendon in 2023?,andrew mccutchen
What injury did Oneil Cruz suffer on April 9 according to the document?,left ankle
Which pitcher for the Pirates re-aggravated his right elbow in his first start off the injured list?,
What type of surgery did Tucupita Marcano need to undergo?,
What was Ke'Bryan Hayes diagnosed with when he was placed on the 10-day IL?,lower back inflammation
Which Pirates player underwent wrist surgery according to a February 2025 update?,spencer horwitz
How long was Spencer Horwitz expected to recover from his wrist surgery?,6 - 8 weeks
What injury was Johan Oviedo dealing with when placed on the 60-day IL?,right lat muscle
Which doctor did Johan Oviedo consult with regarding his injury?,keith meister
Which Pirates prospect was rated as the organization's No. 18 prospect according to Baseball America?,bubba chandler
Who did the Pirates acquire from the Boston Red Sox in exchange for minor league right-handed pitcher Matt McShane?,chase shugart
Which pitcher did the Pirates acquire from Toronto in exchange for cash considerations?,brett de geus
Who was designated for assignment by Toronto on January 10 before being acquired by the Pirates?,spencer horwitz
Who did the Pirates name as their Major League Bullpen Coach in 2025?,"who did the pirates name as their major league bullpen coach in 2025? 6 ), red sox infielder kristian campbell ( no. 7 ), rays shortstop carson williams"
How many seasons had Miguel Perez spent in the Pirates organization before becoming Bullpen Coach?,17
What position did Miguel Perez hold before becoming Bullpen Coach?,manager
Which team's Opening Day roster was Enmanuel Valdez a member of in 2024?,boston
Who did the Pirates trade to acquire Enmanuel Valdez?,joe vogatsky
How many positions did Enmanuel Valdez play for his previous team?,
Which stadium will host the Tokyo Series in 2025?,tokyo dome
What company is naming PNC Park's Picnic Park according to the document?,alco parking corporation
What gates will open two hours prior to game time at PNC Park?,the home plate club
How early before game time do regular gates open at PNC Park for 6:40 p.m. games Monday-Thursday?,one ( 1 ) hour
Who was PNC Park designed to embrace according to the document?,courageous first responders
What year did PNC Park open?,2001
How many seats does PNC Park have according to the document?,"30, 43, 47, or 70"
Who handed the player of the game helmet to Erik Karlsson after the overtime win against Vegas?,tristan jarry
What was Erik Karlsson's response when given the player of the game helmet?,
When was Tristan Jarry's first NHL game action since January 14?,
What team did Jarry play for after being placed on waivers?,wilkes - barre / scranton
What did Bryan Rust say about Jarry's performance after the Wild game?,broke into a huge grin
How did Coach Sullivan describe Jarry's play after the Vegas game?,aspectaculara
What quality does Sullivan note about Jarry when he comes out to play a puck?,calm
What did Karlsson say about Jarry's attitude when returning to the team?,humble and candid
Who is the Pittsburgh Penguins President of Hockey Operations and GM?,
What are the Penguins accumulating to help return to contention?,"assets, flexibility and cap space"
What's unique about Pittsburgh's draft pick situation over the next three NHL Drafts?,no team has more draft picks or selections
"According to Dubas, what's the main question guiding the Penguins' decisions?",
What does Dubas understand is not what fans are used to in Pittsburgh?,they expect the standards to be upheld
Who are the core players that Dubas mentions specifically?,"sidney crosby, evgeni malkin and kris letang"
What does Dubas pledge regarding the older players?,"we are going through everything we can to attempt to have them all have one last chance, or multiple"
What message does Dubas have for Pittsburgh's roster for the rest of the season?,they expect the standards to be upheld
What opportunity does Dubas highlight for players on short-term deals?,they wonat necessarily turn around and spend all of their assets this summer
What does Dubas say they won't allow to become typical?,
What did Dubas say specifically about Rickard Rakell?,the ones whose names came up the most in trade rumors
What did Dubas say about interest in Matt Grzelcyk at the trade deadline?,
What season did Erik Karlsson join the Penguins?,
What does Dubas say about Erik Karlsson's skating ability?,
What is the new music venue being built in the Lower Hill District called?,
What is the capacity of the new music venue in the Lower Hill District?,
When was Mike Lange's passing announced?,"february 20, 2025"
"What are the dates for the ""Select-A-Seat"" event at PPG Paints Arena?",
What is the name of the bag policy at PPG Paints Arena?,cashless venue
What special perks are offered to those who lock in a full season membership?,vouchers
What is the deadline to purchase a new 2025-26 full season membership to be eligible for the Glass Seats Sweepstakes?,
What is required for game entry at PPG Paints Arena?,a mobile ticket must be displayed on a smartphone
What payment methods are accepted at PPG Paints Arena?,credit and debit cards
Where can reverse ATMs be found at PPG Paints Arena?,"highmark lobby, f. n. b. club, captain morgan club, sections 106, 119, 206 and 234"
What type of promotional lineup does the Pittsburgh Penguins 2024-25 home schedule feature?,expanded
How many fans receive gate giveaways at Penguins games?,
On what date is the Penguins game against the New York Islanders?,
"What opponent will the Penguins face on Friday, March 21, 2025?",columbus blue jackets
"What special event is scheduled for Saturday, March 15, 2025?",
What team will the Penguins play for the Faith Night theme?,st. louis blues
When is the Penguins' game against the Chicago Blackhawks?,"april 8, 2025"
What is the name of the Penguins' official website?,pittsburghpenguins. com
What is the name of the section on the website that covers Steelers history?,@ steelershistory
What team did the Steelers play in the first-ever regular season game at Croke Park in Dublin?,cleveland browns
In what town in Northern Ireland did the Rooney family originate?,newry
Who was asked to serve as United States Ambassador to Ireland by President Barack Obama?,dan rooney
When were the Pittsburgh Steelers awarded rights to expand their brand and activities in Ireland?,2025
When did the Steelers host their first-ever Watch Party at Croke Park in Dublin?,"nov. 19, 2023"
What is the capacity of Croke Park stadium?,"82, 300"
What is the expiration date of pre-paid Visa cards available from reverse ATMs at PPG Paints Arena?,
"According to the Fan Code of Conduct, when should fans wait before leaving or returning to their seats?",until there is a stoppage of play
What restaurant in Pittsburgh celebrates its 50th Fat Tuesday?,
"What is one of the topics discussed in the ""FREE WILL ASTROLOGY"" column?",
"Who is the author of the ""FREE WILL ASTROLOGY"" column?",
In what district is Citizens Live at the Wylie located?,
What is the size of the Citizens Live at the Wylie venue in square feet?,
"According to the text, what ethnic holiday once a quiet day of reflection became a full-throttle display of pride in cities like Pittsburgh?",
What did Lynn Cullen talk about regarding the Trump administration?,threats of vengeance
What is the name of the podcast featuring Ãlvaro Martín and Arturo Carlos?,prepa ¡ rate
What NFL team does the article mention as having lost to the Pittsburgh Steelers during a Wild Card matchup?,
Who is the quarterback mentioned as having the second most victories in playoffs among those present in the 2024 postseason?,
How many playoff wins does Wilson have according to the text?,41
Who has more playoff wins than Wilson according to the text?,who has more playoff wins than wilson according to the text? ( karl roser / pittsburgh steelers ) pittsburgh steelers quarterback russell wilson ( 3 ) during a regular season game between the pittsburgh steelers and the baltimore ravens
How many wins does Mahomes have in the playoffs according to the text?,
What was Allegheny County Democratic Committee's vote difference between Corey O'Connor and Ed Gainey for Pittsburgh mayor?,
What journalist was mentioned as discussing fear in public and private sectors because of Trump's threats?,lynn
Who founded the Pittsburgh Steelers according to the text?,
When was the Pittsburgh Steelers founded?,1933
What is mentioned as the current president of the Pittsburgh Steelers?,art rooney ii
Who was the late Steelers Chairman mentioned in the text?,dan rooney
What is the relationship between Art Rooney II and Dan Rooney?,the first member of the rooney family to visit northern ireland
"What is described as ""not typical"" by Dubas that they ""won't allow to become typical""?",
What position does Erik Karlsson play for the Penguins?,
What position does T.J. Watt play?,
What is the name of the restaurant mentioned as celebrating its 50th Fat Tuesday?,le mardi gras by matt petras yinzer yums of yesteryear
What former Steelers player founded the Best of the Batch Foundation?,charlie batch
What year was the Best of the Batch Foundation founded?,1999
Where is the hometown of Charlie Batch?,"homestead, pa"
How many programs does the Best of the Batch Foundation offer?,over 12
How many Western Pennsylvania counties does the Best of the Batch Foundation serve?,eight
What was the name of Jerome Bettis' foundation?,jerome bettis bus stops here foundation
When was Jerome Bettis' foundation created?,1997
What is the purpose of Jerome Bettis' foundation?,provide opportunities for inner - city youth to succeed and become productive individuals in today ' s society
What disease does Santonio Holmes' son suffer from?,sickle cell disease
What is the name of Santonio Holmes' foundation?,iii and long foundation
Who founded Adventures in Training with a Purpose?,jon kolb
What position did Jon Kolb play for the Steelers?,
What specialized division of ATP focuses on training veterans and military personnel?,aurelius
Who serves as an ambassador to Convoy Nation?,
What position did Vance McDonald play for the Steelers?,convoy of hope former steelers te
In what year did the Steelers launch the Chuck Noll Foundation?,2016
What is the purpose of the Chuck Noll Foundation?,to support continued research and education
What former Steelers running back established the 39 Legends Foundation?,willie parker
What is the purpose of the 39 Legends Foundation?,preserve and expand the resources of art and science as agents of personal growth and social advancement
What condition was Joey Porter's daughter born with?,severe autism
What is the name of the campus opened by Joey and Christy Porter in Pittsburgh's Sheraden neighborhood?,eden hall farm
What injury did Ryan Shazier suffer?,
What is the name of Ryan Shazier's foundation?,thea ryan shazier fund for spinal rehabilitation
What is the mission of the Ryan Shazier Fund for Spinal Rehabilitation?,"giving those with sci and their caregivers the support, resources and funding they need to live independent and meaningful lives"
What is the title of Ryan Shazier's book?,walking miracle
Who created the Donnie Shell Scholarship Foundation?,donnie shell and his wife paulette
What is the purpose of the Donnie Shell Scholarship Foundation?,"to fill in the financial gap for students attending his alma mater, south carolina state university"
In what year was the John Stallworth Foundation created?,1980
How much has the John Stallworth Foundation awarded in scholarship awards since its inception?,"$ 550, 000"
What player did Tristan Jarry hand the player of the game helmet to after an overtime win against Vegas?,erik karlsson
What did Erik Karlsson say about Jarry's play?,
"According to Mike Sullivan, how can Jarry's handles be described?",aspectaculara
What did Karlsson say about Jarry's belief in himself?,he ' s the same person he was since last we saw him
Who is the general manager of the Penguins mentioned in the text?,
What three assets does Kyle Dubas focus on according to the text?,they wonat necessarily turn around and spend all of their assets this summer
How many draft picks does Pittsburgh have compared to other NHL teams?,three
What key veteran players are mentioned as part of the Penguins core?,
How many yards did Derrick Henry rush for in the game against the Steelers?,
What was the score at halftime when the Steelers played the Ravens?,
What player intercepted a pass from Lamar Jackson in the Steelers vs. Ravens game?,darius slay
What happened two plays after Minkah Fitzpatrick's interception?,
How many capturas (sacks) did the Ravens' defense have against Russell Wilson?,60
What date will the Steelers face the Chiefs according to the Spanish text?,
In which stadium do the Pittsburgh Steelers play their home games?,paycor stadium
What was the final score of the Steelers vs. Chiefs game?,
What did Coach Tomlin say was a key reason for the loss against the Chiefs?,
"How many points did the Steelers score against the Chiefs, and why was this significant?",
"What player had a ""great partido"" (great game) with defending three passes against the Bengals?",
Which four Steelers defenders recorded a sack each against the Bengals?,
What was the Steelers' record at the end of the 2024 regular season?,
When will the Steelers face the Ravens in the playoffs according to the Spanish text?,
What iconic park in Dublin will host the NFL game in 2025?,croke park
What connection does the Rooney family have to Ireland?,deep - rooted
Who served as the U.S. ambassador to Ireland from 2009 to 2012?,dan rooney
What organization did Dan Rooney co-found that is mentioned in the text?,steelers
In what year did the Steelers previously play in Ireland?,1997
Against which team did the Steelers play their previous game in Ireland?,chicago bears
What did Art Rooney II say about playing a game in Mexico in the future?,
What is Croke Park primarily known for hosting according to the text?,watch party
In what round of the NFL Draft was Malik Harrison selected?,third round
Which team originally drafted Malik Harrison?,baltimore ravens
How many career tackles does Malik Harrison have according to the text?,17
What position does Malik Harrison play?,linebacker
What did Malik Harrison say about his playing style and approach to football?,
What was Malik Harrison's career high in tackles in a single game?,
What defensive statistic did Malik Harrison record a career-high of 46 in 2024?,"what defensive statistic did malik harrison record a career - high of 46 in 2024? you ' ve got one play, and you ' ve got to make that one play count. "" harrison plays with an edge, an aggressive approach that will have him fit right in with the defense. "" i think that ' s just always been how i played throughout college and in high school, "" said harrison. "" i ' ve always just been the guy that ' s very aggressive, i don ' t shy away from contact. i feed off of contact. if somebody gets me, i ' m going to have to get you back. "" in 2024, he played in 15 games, with seven starts, and had a career - high 46 tackles"
"What defense was Malik Harrison part of in 2024, and how was it ranked?",baltimore ravens
What did Malik Harrison help the Ravens defense achieve in 2023?,"what did malik harrison help the ravens defense achieve in 2023? ( ap photo / adam hunger ) baltimore ravens linebacker malik harrison ( 40 ) in action during the second half of an nfl football game against the carolina panthers, sunday, nov. 20, 2022, in baltimore. ( ap photo / terrance williams ) baltimore ravens linebacker malik harrison ( 40 ) celebrates after sacking philadelphia eagles quarterback marcus mariota during the first half of an nfl preseason football game, saturday, aug. 12, 2022, in baltimore. ( ap photo / terrance williams ) cleveland browns place kicker cade york ( 3 ) has his field goal attempt blocked by baltimore ravens linebacker malik harrison ( 40 ) in the second half of an nfl football game, sunday, oct. 23, 2022, in baltimore. ( ap photo / julio cortez ) harrison has the length to fill a role as a reserve edge rusher and the athleticism to play off the ball in space. a former third - round pick, harrison ran a 4. 66 - second 40 - yard dash at the nfl scouting combine in 2020, also posting a 36 - inch vertical jump. contributing writer / editor the steelers signed former baltimore linebacker malik harrison to a two - year deal in free agency. harrison, 27, enters his sixth nfl season as a special teams ace with starter capability. the 6 - foot - 3, 255 - pound ohio state product appeared in 76 career games with the ravens, 34 of them starts. in 2024, the ravens inserted trenton simpson into the starting lineup to replace patrick queen after he was signed in free agency by the steelers. but the defense turned around in the second half of the season when the ravens turned to harrison to start the final seven games. harrison played a career - best 382 defensive snaps"
What did Malik Harrison block in a game against the Cleveland Browns in 2021?,
Where did Malik Harrison play college football?,baltimore ravens
What was Malik Harrison's college statistics in terms of tackles?,40
What honor did Malik Harrison receive from coaches in 2019?,"what honor did malik harrison receive from coaches in 2019? ( ap photo / adam hunger ) baltimore ravens linebacker malik harrison ( 40 ) in action during the second half of an nfl football game against the carolina panthers, sunday, nov. 20, 2022, in baltimore. ( ap photo / terrance williams ) baltimore ravens linebacker malik harrison ( 40 ) celebrates after sacking philadelphia eagles quarterback marcus mariota during the first half of an nfl preseason football game, saturday, aug. 12, 2022, in baltimore. ( ap photo / terrance williams ) cleveland browns place kicker cade york ( 3 ) has his field goal attempt blocked by baltimore ravens linebacker malik harrison ( 40 ) in the second half of an nfl football game, sunday, oct. 23, 2022, in baltimore. ( ap photo / julio cortez ) harrison has the length to fill a role as a reserve edge rusher and the athleticism to play off the ball in space. a former third - round pick, harrison ran a 4. 66 - second 40 - yard dash at the nfl scouting combine in 2020, also posting a 36 - inch vertical jump. contributing writer / editor the steelers signed former baltimore linebacker malik harrison to a two - year deal in free agency"
What honor did Malik Harrison receive from the Associated Press in 2019?,
Which cornerback did the Steelers sign to a one-year contract?,darius slay
With which team did Darius Slay spend his first seven NFL seasons?,
In what year was Darius Slay named a First-Team Associated Press All-Pro?,2012
How many times has Darius Slay been selected to the Pro Bowl?,
What did Darius Slay say about Coach Mike Tomlin?,
How many career interceptions does Darius Slay have?,five
How many passes has Darius Slay defensed since 2013?,161
What college did Darius Slay attend before Mississippi State?,itawamba community college
What did Slay say about his perception of the Steelers defense?,
What was Darius Slay's career-high number of passes defensed in a single season?,
What was Darius Slay's career-high number of interceptions in a single season?,
Which wide receiver did the Steelers acquire in a trade with the Seattle Seahawks?,dk metcalf
What draft picks did the Steelers give up to acquire DK Metcalf?,seventh round pick ( 223rd overall )
How many receptions does DK Metcalf have in his six seasons with Seattle?,66
How many career touchdown receptions does DK Metcalf have?,
"How many 1,000-yard receiving seasons does DK Metcalf have?",
What is DK Metcalf's career yards per reception average?,14. 4
"How many 100-yard games does DK Metcalf have in his career, including postseason?",
What was DK Metcalf's longest touchdown reception mentioned in the text?,
What record did DK Metcalf set for the Seahawks franchise?,
What physical trait of DK Metcalf is mentioned in the text about his NFL Combine performance?,
What was DK Metcalf's 40-yard dash time at the NFL Combine?,4. 33 - second
What college did DK Metcalf attend?,
What were DK Metcalf's receiving statistics in 2024?,
What team will the Steelers play in their 2025 home opener at Dublin's Croke Park?,"dublin game play yinzchat! steelers mobile app hall of honor museum acrisure stadium join our team and help behind - the - scenes to bring game days and other stadium events to life! apply now to be our first pick! steelers headed to ireland steelers nation, pack your bags a we ' re taking the black & gold to the emerald isle! for the first time ever, the nfl"
What type of coach is Scott McCurley listed as for the Steelers?,inside linebackers
What type of coach is Gerald Alexander listed as for the Steelers?,defensive backs
What statement did the Steelers release regarding Craig Wolfley?,everything you need to know about nfl free agency
"Who is Virginia McCaskey, mentioned in a statement from Art Rooney II?",
What players returned to practice according to the text?,
How many rushing yards did the Ravens have in their playoff win against the Steelers?,
What was the halftime score of the playoff game between the Steelers and Ravens?,
What did Coach Tomlin say about Lamar Jackson's performance in the playoff game?,
How many rushing yards did the Steelers have in the playoff game against the Ravens?,
Which Steelers player had five receptions and 87 yards in the playoff game?,
What was Russell Wilson's leadership described as by Coach Tomlin after the playoff loss?,
What did Russell Wilson say about the team's mentality in the second half of the playoff game?,
Which team eliminated the Steelers from the playoffs?,
What is the seating capacity of Acrisure Stadium?,"68, 400"
How many bridges does Pittsburgh have according to the text?,446
What is the size of Lake Arthur at Moraine State Park?,manmade lake in pennsylvania
How many outdoor stairways does Pittsburgh have within its city limits?,800
What is Pittsburgh known as according to the text related to Christmas trees?,
What trail connects Pittsburgh to Washington D.C.?,great allegheny passage
How long is the Great Allegheny Passage trail?,150 - mile
What are the three rivers that meet in Pittsburgh?,3 rivers
How many neighborhoods does Pittsburgh have?,
What is the name of Pittsburgh's iconic incline mentioned in the text?,
What is the Duquesne Incline used for according to the text?,
"What magazine called Mt. Washington's view one of the ""Top 10 most beautiful views in the country""?",usa weekend
What is the name of Pittsburgh's subway system?,
"What is unique about riding the ""T"" within the Golden Triangle area?",
What is the name of Pittsburgh's annual celebration that kicks off the holiday season?,
When does Peoples Gas Holiday Market take place?,"november 22 – december 23, 2024"
What is the UPMC Rink at PPG Place described as in the text?,renaissance ii
What unique annual film festival is mentioned that is the sixth oldest of its kind in the world?,
What annual festival celebrates pickling in Pittsburgh?,picklesburgh
What is Kennywood described as in the context of Halloween events?,spookiest
What famous haunted attraction in Pittsburgh has three experiences throughout the city?,
How many pumpkins are featured in the Jack O'Lantern Extravaganza at Pittsburgh Zoo?,
What is Pittsburgh ranked as according to USA Today's 10 Best Reader's Choice poll?,"one of the winners of the "" best city for sports "" travel award"
How many Super Bowl titles have the Pittsburgh Steelers won?,six
What is the Pittsburgh Steelers' stadium's capacity?,"68, 400"
What is PNC Park's capacity?,
What is the Pittsburgh Pirates' mascot race called?,
How many home run balls have exited PNC Park and splashed into the Allegheny River?,70
What is the capacity of PPG Paints Arena?,
How long did the Penguins' sellout streak last?,14 years
What is the name of the Penguins' mascot?,
What is Highmark Stadium's capacity?,"5, 000"
What famous sporting event will Pittsburgh host in 2026?,nfl draft
What is the name of the celebration that honors the invention of the banana split?,great american banana split festival
When was the banana split invented?,1904
Who invented the banana split?,david strickler
Where was the banana split invented?,latrobe pharmacy
In what year was the Pennsylvania Historical Society marker for the banana split unveiled?,
What is the official dessert of Pennsylvania?,"groove to intimate, stripped - down studio sessions by sound series artists. ©2025 carnegie museums of pittsburgh support it is also the official dessert of pennsylvania! david strickler"
"Who was known as ""Ice-Cream Joe"" in relation to the banana split's history?",david strickler
"In what year did Ice-Cream Joe work with the University of Pittsburgh on the ""From Pitt Came the Split"" event?",2004
"What is the name of the university that collaborated on the ""From Pitt Came the Split"" event?",the university of pittsburgh
What are the dates for the 2025 Great American Banana Split Celebration?,
What mythical figure can attendees meet throughout the weekend of the banana split celebration?,banana split princess
What is the Banana Split Princess?,
What age group is eligible for the Banana Split Princess Pageant?,girls 9 - 13
What county must contestants for the Banana Split Princess reside in?,westmoreland
What types of vendors are available at the Great American Banana Split Celebration?,
What is one athletic activity mentioned that takes place during the banana split celebration?,goat yoga
What is the 5k race called that takes place during the celebration?,
What charitable cause does the Car Show at the Banana Split Celebration support?,relay for life
How many vehicles receive dash plaques at the Car Show?,100
What is the fee for vehicles participating in the Car Show?,$ 10 per vehicle going towards relay for life
"What is the name of the Art Center that hosts a ""banana extravaganza""?",latrobe art center
What yellow attire is suggested for the Art Center's banana extravaganza event?,fanciest
How many teams play in the Cornhole Tournament?,two
How many points is a cornhole bag worth if it goes through the hole?,3 points
What age was David Strickler when he invented the banana split?,23
