question,output,correct_answer
What is the projected beginning balance for the Special Food Service Trust Fund in 2024?,"$ 105, 223 2023 2024","$105,223"
How many days does the Pittsburgh Home & Garden Show last?,,10 days
What is the Pittsburgh Home & Garden Show primarily focused on?,,"Home renovations, gardening, and the latest innovations in home technology"
How many exhibits are at the Pittsburgh Home & Garden Show?,,"More than 1,500"
Which parade in Pittsburgh is considered one of the largest of its kind in the US?,st. patrick ' s day,The St. Patrick's Day Parade
What is reimagined during the Pittsburgh Humanities Festival?,new ideas brought to light,A week of new ideas brought to light
What unique culinary experience is featured at the Pittsburgh Humanities Festival?,,A soul food culinary experience
Where is the newly renovated Greer Cabaret Theater located?,,Not specified in the text
What types of performances are featured at the Pittsburgh Fringe festival?,"theater, comedy, visual arts, puppetry, music, opera, spoken word and much more","Theater, comedy, visual arts, puppetry, music, opera, spoken word and more"
How many venues does the Pittsburgh Fringe festival span?,venues throughout the city,Venues throughout the city
How long does the Art All Night festival last?,22 - hour,22 hours
What type of venue hosts the Art All Night festival?,warehouse,A gigantic warehouse
How many participants are involved in Art All Night?,500 +,500+ participants
Is Art All Night a family-friendly event?,this inclusive and family - friendly,Yes
How many runners participate in the Pittsburgh Marathon Weekend?,"40, 000","More than 40,000"
What different race events are part of the Pittsburgh Marathon Weekend?,"upmc health plan half marathon, fedex pittsburgh marathon relay, upmc health plan / upmc sports medicine pittsburgh 5k run, chick - fil - a pittsburgh kids marathon, pittsburgh pet walk fueled by pro plan and sheetz pittsburgh toddler trot","Marathon, Half Marathon, Marathon Relay, 5K, Kids Marathon, Toddler Trot and Pet Walk"
When is the 2025 Pittsburgh Marathon Weekend scheduled?,"may 4, 2025","May 4, 2025"
What recognition did the Millvale Music Festival receive in 2022 and 2023?,best music fest,Best Music Fest by Pittsburgh City Paper
How many bands perform at the Millvale Music Festival?,hundreds,Hundreds of bands
Is there an admission fee for the Millvale Music Festival?,most activities are free of charge,"Yes, it's free"
What activities are available for children at the EQT Children's Theater Festival?,,"Live performances, scavenger hunts, brick building, STEM activities and more"
How much do most activities at the EQT Children's Theater Festival cost?,,Most activities are free of charge
How many days does the JFilm Festival run?,eleven,11 days
What organization presents the JFilm Festival?,,Film Pittsburgh
What type of cinema does the JFilm Festival feature?,,Jewish-themed independent cinema
What marks the beginning of Pride month in Pittsburgh?,kick off pride month with a celebration,Pittsburgh Pride
What performances are featured at Pittsburgh Pride?,,"Performances by local, national, and international artists"
How many artists and musicians are featured at the Dollar Bank Three Rivers Arts Festival?,400,400+ artists and musicians
How long does the Dollar Bank Three Rivers Arts Festival run?,22 - hour,10 days
Is there an admission fee for the Three Rivers Arts Festival?,free,"Yes, it's free"
What is the focus of 3 Rivers Comicon?,comics and their creators,Comics and their creators
When did 3 Rivers Comicon begin?,2016,2016
What is the Allegheny County Music Festival a celebration of?,,All Cities and Boroughs in Allegheny County
How many days does the Allegheny County Music Festival last?,three,Three days
Is the Allegheny County Music Festival free to attend?,,Yes
What is DOORS OPEN Pittsburgh designed to help attendees discover?,pittsburgh welcome booth,What you don't know about Pittsburgh's Downtown
What types of buildings can be explored during DOORS OPEN Pittsburgh?,"sacred places, government offices, theaters, artists spaces and more","Sacred places, government offices, theaters, artists spaces and more"
What makes Anthrocon one of the largest conventions of its kind in the world?,this four - day celebration takes over the david l. lawrence convention center and the cultural district with the record - breaking fursuit parade and block party,It's one of the largest anthropomorphics conventions in the world
What unique parade takes place during Anthrocon?,fursuit parade,Fursuit Parade and Block Party
Where is Pittsburgh's Independence Day celebration held?,historic point state park,Point State Park
What time does the Independence Day celebration at Point State Park run?,"july 4th! enjoy a family - style picnic at historic point state park, complete with patriotic music and food vendors from 4 to 10 pm",4 to 10 pm
What is America's Mile and where is it set?,against pittsburgh ' s breathtaking north shore,A race event set against Pittsburgh's North Shore
What different types of heats does America's Mile offer?,"inclusive move mile, the brave heroes ' mile, and the competitive aspire mile","MOVE Mile, Heroes' Mile, and Aspire Mile"
What makes the Pittsburgh Vintage Grand Prix unique compared to other vintage races?,"tight turns, elevation changes and natural obstacles like stone walls, curbs, manhole covers and telephone poles",It's the nation's largest vintage street race and the only one staged on public roads
Why is the Pittsburgh Vintage Grand Prix racecourse considered challenging by drivers?,"tight turns, elevation changes and natural obstacles like stone walls, curbs, manhole covers and telephone poles","It has tight turns, elevation changes and natural obstacles"
What type of obstacles are found on the Pittsburgh Vintage Grand Prix racecourse?,"tight turns, elevation changes and natural obstacles like stone walls, curbs, manhole covers and telephone poles","Stone walls, curbs, manhole covers and telephone poles"
How many days does the Deutschtown Music Festival last?,10,Three days
What is the focus of the Deutschtown Music Festival?,signature festival,Sharing great music
Where is the Deutschtown Music Festival held?,northside music festival a look at the signature festival that helps define what makes our deutschtown neighborhood so special see below for a list of all 90 unique neighborhoods that make up pittsburgh,Pittsburgh's Northside
Is there an admission fee for the Deutschtown Music Festival?,,"Yes, it's free"
What type of convention is Tekko?,anime convention,Japanese pop culture convention
Where is Tekko held?,pittsburgh,David L. Lawrence Convention Center
What types of activities are available at Tekko?,,"Guest meet-n-greets, cosplay competitions, games, J-rock concerts, pachinko and more"
What is central to all that is Picklesburgh?,a massive array of dill - ectable products and foods,A massive array of dill-ectable products and foods
What types of performances can be found at Picklesburgh?,live music performances,Dozens of live music performances
What unique contest is held at Picklesburgh?,"pickle juice drinking contest, and an abundance of pickle - themed apparel, merch, and much much more! picklesburgh is the destination for all things pickled",Pickle Juice Drinking Contest
What is the name of the National Aviary's party held in July?,night in the tropics!,Night in the Tropics
What type of atmosphere does Night in the Tropics create?,tropical,A tropical celebration
What food options are available at Night in the Tropics?,delicious signature island cocktails,Mouth-watering bites from more than a dozen local restaurants
What recognition has Barrel and Flow Fest received according to USA Today?,second best,Second best beer festival in the nation
What is unique about Barrel and Flow Fest compared to other beer festivals?,second best in the nation,It's the nation's first Black beer festival
What does Barrel and Flow Fest showcase?,the country ’ s most talented black brewers,The country's most talented Black brewers
What is the purpose of Rock Reggae & Relief?,"brings reggae tunes, unity and feel - good vibes to the heart of downtown pittsburgh while offering a helping hand to our neighbors in need",To benefit and offer help to neighbors in need
Where is Rock Reggae & Relief held?,downtown pittsburgh,Downtown Pittsburgh
What all-American dessert is celebrated in Latrobe?,great american banana split festival,Banana Split
How long has the Banana Split Festival been a staple in Westmoreland County?,2013,Since 2013
What activities are featured at the Banana Split Festival?,,"Live music, goat yoga, kids activities, Yellow Tie Gala, pie-eating contest, 5k banana run"
How many days does Little Italy Days last?,four,Four days
Where is Little Italy Days held?,liberty ave,Bloomfield
Is there an admission fee for Little Italy Days?,,"Yes, it's free"
What time period does the Renaissance Festival recreate?,"august 17, 2024 - october 20, 2024 featuring fine glassware, ceramics, metalwork, painting, weaving, and much more, treasured ornament evokes the rich history of the islamic world. this exhibition looks at the continuum of self - taught art across time and place from the earliest days of the founding of the united states to the present",Medieval/Renaissance period
How often is Restaurant Week held in Pittsburgh each year?,winter and summer,Twice a year (Summer and Winter)
When was the Pittsburgh Soul Food Festival established?,2019,2019
How many vendors participate in the Pittsburgh Soul Food Festival?,,More than 100 vendors
What does the Pittsburgh Soul Food Festival honor?,,Pittsburgh's rich history of food service pioneers and entrepreneurs
What is the focus of the ReelAbilities Film Festival?,film pittsburgh,Films through the lens of individuals living with disabilities
What besides films is featured at the ReelAbilities Film Festival?,artwork and special guests,Artwork and special guests
Which organization runs the ReelAbilities Film Festival?,row house lawrenceville,Film Pittsburgh
How many days does the Pittsburgh Irish Festival last?,10,Three days
How many music stages are at the Pittsburgh Irish Festival?,five,Five stages
What is the Smallman Streat Fest?,,A special event with food vendors and live entertainment
How many food vendors participate in the Smallman Streat Fest?,500 +,25+ food vendors
Where is the Smallman Streat Fest held?,,Historic Strip District
How many jazz musicians perform at the Pittsburgh International Jazz Festival?,,More than 140
In what year did the Richard S. Caliguiri City of Pittsburgh Great Race begin?,"1977, when former pittsburgh mayor richard s. caliguiri established the race as a “ community fun run. ” since that inaugural competition, nearly a half million people have participated in the great race, making the event the largest 10k race in pennsylvania. the popular fall fitness classic has expanded to include a 5k run / walk, a running clinic, the junior great race, great race expo and more. the reelabilities film festival presents award - winning films through the lens of individuals living with disabilities. in addition to impactful films, the festival also features artwork and special guests to bring the themes of community and shared human experience to the forefront. reelabilities is a program of film pittsburgh. learn about the ethnic richness of the irish and irish - american culture at this three day festival. enjoy irish music on five stages. find out more about the festival on the official website. this special event has an incredible line up of 25 + of the best food vendors, and tons of live entertainment and family - friendly fun in the historic strip district. don ' t miss this soulful weekend with more than 140 jazz musicians. get information on free sessions, ticketed events. locations and more. the annual richard s. caliguiri city of pittsburgh great race started in 1977",1977
Who established the Great Race?,richard s. caliguiri,Former Pittsburgh Mayor Richard S. Caliguiri
What distinction does the Great Race hold in Pennsylvania?,largest 10k race in pennsylvania,It's the largest 10K race in Pennsylvania
What has the Great Race expanded to include beyond the original race?,,"A 5K run/walk, a running clinic, the Junior Great Race, Great Race Expo"
What distinction does Reel Q hold among LGBTQ+ film festivals?,sixth oldest lgbtq + film festival in the world,It's the sixth oldest LGBTQ+ film festival in the world and the longest-running film festival in Pittsburgh
How long has Reel Q been running in Pittsburgh?,10 days,"Not specifically stated, but it's described as ""annual"""
How many feature films does Reel Q typically screen?,approximately 20,Approximately 20
What does Kennywood showcase during the holiday season?,millions of festive lights,Millions of festive lights
What is the mission of Pittsburgh's Environmental Services?,"to establish and maintain a refuse and recycling system that promotes a safe, litter - free and environmentally friendly city for all of its residents and customers","To establish and maintain a refuse and recycling system that promotes a safe, litter-free and environmentally friendly City"
What services does Environmental Services provide to Pittsburgh residents?,"collection services to promote environmentally friendly disposal of your trash, recycling, and yard debris. the mission of environmental services is to establish and maintain a refuse and recycling system that promotes a safe, litter - free and environmentally friendly city for all of its residents and customers. this site uses cookies to enhance your experience. = = = trash & recycling - pittsburgh, pa ( web : https : / / www. pittsburghpa. gov / resident - services / trash - recycling ) = = = the mission of environmental services is to establish and maintain a refuse and recycling system that promotes a safe, litter - free and environmentally friendly city for all of its residents and customers","Collection services for trash, recycling, and yard debris"
What is required of special event organizers expecting more than 200 individuals per day?,,To separate recyclables from municipal waste
What is the ten-digit phone number for Pittsburgh's 311 Response Center?,412 - 255 - 2621,412-255-2621
Can service requests to 311 be sent anonymously?,requests can be sent anonymously if you do not require a response,"Yes, if you do not require a response"
How can residents reserve a park shelter in Pittsburgh?,by appointment only,Through the online Facility Rental website
What email address should be used to schedule a park shelter reservation if unable to use the online service?,dpwfields & parkshelters @ pittsburghpa. gov,dpwfields&parkshelters@pittsburghpa.gov
"What types of licenses does the Department of Permits, Licenses, and Inspections issue?","building, electrical, mechanical, occupancy, demolition, fire sprinkler, and fire alarm permits","Not specifically listed in the text, just mentioned generally"
What is the name of Pittsburgh's central hub for residents to apply for business licenses and permits?,pittsburgh downtown partnership,OneStopPGH
How many parks does Pittsburgh's park system include?,176,176 parks
How many acres of parkland does Pittsburgh's park system cover?,"3, 800","Nearly 3,800 acres"
What are the different types of parks in Pittsburgh's system?,iconic regional parks to community and neighborhood parks,"Regional parks, community parks, and neighborhood parks"
Where is the Bank Tower located according to the contact information?,##307 fourth avenue,"307 Fourth Avenue – Floor 2, Pittsburgh, PA 15222"
What are the types of teams mentioned that the Pittsburgh Downtown Partnership is seeking individuals to join?,clean & outreach teams,Clean & Outreach Teams
What type of activities do Outreach ambassadors perform according to the document?,"meetings, workshops, and community sponsored events","Connecting individuals on the streets with local social service outreach programs, organizations, and helpful resources"
What is one of the tasks performed by Clean Team members?,volunteering,"Clean up litter, answer questions, and work to beautify the neighborhood"
What year is mentioned in the copyright notice at the bottom of many pages?,2018,2025
What is the contact phone number for the Pittsburgh Downtown Partnership?,,412-566-4190
What email option is provided for contacting the Pittsburgh Downtown Partnership?,,Email Us
Which historic building is mentioned as being located at 210 Sixth Avenue?,k & l gates center,K&L Gates Center
What is the name of the new retail space for entrepreneurs that was set to open in the fall?,ensemble on fifth,Ensemble on Fifth
How much investment has Downtown Pittsburgh received since 2006 according to the document?,,$7.48 billion
What month and day is St. Patrick's Day scheduled for in 2025?,,"March 15, 2025"
"What volunteer opportunity is mentioned for April 26 - May 3, 2025?",,Redd Up Week
What is the estimated annual spending power in Downtown Pittsburgh mentioned in the document?,,$160 million
How many residents are mentioned to be in Downtown Pittsburgh in the retail section?,"31, 000","31,000"
How many workers are mentioned to be in Downtown Pittsburgh in the retail section?,"130, 000","130,000"
What type of program does the Pittsburgh Downtown Partnership coordinate to engage with patrons?,small business spotlight program,Small Business Spotlight program
What is the maximum monthly rent subsidy offered in the Downtown Rent Abatement Program?,50 %,"$2,000 per month"
What is the cap on the number of months for the rent subsidy in the Downtown Rent Abatement Program?,"$ 2, 000",12 months
What is required before applying for the Downtown Rent Abatement Program?,"the funds will be paid directly to the property owner or management, in accordance with the lease",Having a potential location identified and being in active lease negotiations
Who should potential DRAP applicants consult with before applying?,,PDP's Senior Director of Economic Development
What percentage of monthly rent can be subsidized through the DRAP program?,50 %,Up to 50%
What type of lease is required for the Downtown Rent Abatement Program?,multi - year lease,Multi-year lease
Where can someone submit an event or activity for inclusion in the Downtown calendar?,,For free here (via the website)
What can be found on the CMU Alumni Association Board according to the document?,what can be found on the cmu alumni association board according to the document? partners. volunteers. leaders. alumni. friends,A diversity of thought
What is highlighted as a common characteristic of AAB members?,dedication and love,A dedication and love for CMU
What is the Carnegie Mellon quoted cutoff date for reliable knowledge?,2025,October 2024
Who won the US Presidential election in 2024 according to the document?,,Donald Trump
Who was defeated in the 2024 US Presidential election?,,Kamala Harris
When was Donald Trump inaugurated according to the document?,,"January 20, 2025"
What is the date listed for the next Downtown Development Activities Meeting?,march 13,"Thursday, March 13 at 5:00 PM"
What platform will be used for the Downtown Development Activities Meeting in March?,mailchimp,Zoom
What is the Meeting ID for the Downtown Development Activities Meeting in March?,dam,833 1176 5328
What is the passcode for the Downtown Development Activities Meeting in March?,dam,847867
What is the VCA mentioned in relation to volunteering?,,Volunteer Commitment Agreement
"What entity partnered with PDP to develop a ""Playbook-for-Retail-Success""?",duquesne mba students,Duquesne MBA students
Where is PiratesFest 2025 scheduled to be held?,,David L. Lawrence Convention Center
What is presenting PiratesFest 2025?,special ticket events,RE/MAX Select Realty
What special access do Pirates Season Ticket Holders get for PiratesFest?,"what special access do pirates season ticket holders get for piratesfest? from group outings, to season tickets, and everything in between, we have the perfect ticket option for you! complete the form below and a pirates representative will be in touch with more information. check out the many ways to save on your next trip to pnc park! each ticket includes early access to pnc park, plus loaded value so you can enjoy your first beverage at the miller lite landing bar on us! spend an afternoon cheering on the bucs and lunch is included with your game ticket! your purchase includes $ 12 loaded value on each ticket. students can save up to 40 % on pirates tickets with a valid student id through student beans! enjoy discounted lower and upper level tickets to select pirates home games. save big on pirates tickets this season with your giant eagle loyalty card! enjoy discounted lower and upper level tickets to select pirates home games. plus, a portion of each ticket sold will be donated to 412 food rescue. the pirates & 84 lumber honor and thank our military, and their families, with special discounted pricing on all games. save big on pirates tickets this season with your pittsburgh pirates pnc bank visa® debit card",Early access from 9:00 a.m. to 10:00 a.m. each day
What are the general public hours for PiratesFest?,"what are the general public hours for piratesfest? outside food and beverage is not permitted entry into the home plate club, suite level or the left field lounge areas. pnc park offers complimentary admission to children under 32 "" in height. however, we do request that these children sit in their parent or guardian ' s lap and not occupy an additional seat. group tickets are a flat rate price for both children and adults. gates will open one and one - half ( 1 1⁄2 ) hours before game time for all start times excluding 6 : 40 p. m. games where gates will only open one ( 1 ) hour before game time monday - thursday and one and one - half ( 1 1⁄2 ) hours before game time friday - saturday",10 a.m. to 2 p.m.
What was the amount of investment mentioned that Downtown Pittsburgh surpassed in the last ten years in the retail environment?,$ 4. 5 billion,$4.5 billion
"What is the name of the report that gives meaning to data, statistics, and trends produced by PDP?",state of downtown pittsburgh snapshot reports,State of Downtown Pittsburgh Snapshot Reports
What is the status of Carnegie Mellon Today according to the FAQ section?,"the future is now, and you can be a part of it today",It is no longer published
During what years was Carnegie Mellon Today distributed as a web-based publication?,,From September 2015 to July 2017
What is required to access and use the CUC fitness facilities?,what is required to access and use the cuc fitness facilities? only those with a valid cmu id,A valid CMU ID
What time do university parking lots open to the public at no charge?,after 5 p. m. each day and during the weekends,After 5 p.m. each day and during the weekends
How many visitor parking spaces are available by prior reservation in the Alumni House parking lot?,two,Two
What type of email address does CMU offer to alumni?,full @ alumni. cmu. edu,@alumni.cmu.edu email address
What powers the alumni email accounts at CMU?,g suite,G-Suite
What feature of the alumni email accounts provides unlimited storage?,g suite,All messages with unlimited storage
What happens to a student's @andrew.cmu.edu email alias approximately 90 days after graduation?,cease to function,It will cease to function
What is the deadline mentioned for alumni to enroll in two-factor authentication for their alumni email?,"december 15, 2021","December 15, 2021"
What scholarship percentage is available for CMU's new online graduate certificate programs for alumni?,20 %,Up to 20%
What is the name of the event that has been one of the most anticipated weekends of the year for over 100 years at CMU?,spring carnival,Spring Carnival
What event allows Tartans from around the world to return to campus in the spring?,"spring carnivalfor more than 100 years, spring carnival",Spring Carnival
What activities are mentioned as part of Spring Carnival?,"booth, buggy, the kiltie band concert and scotch ' n ' soda performances","Booth, Buggy, MOBOT, Scotch'n'Soda performances"
When does the Pittsburgh Technology Council's HBCU Swingman Classic take place?,,"July 11, 2025"
Where is the HBCU Swingman Classic scheduled to be held?,,"Truist Park in Atlanta, Georgia"
Where is the All-Star Saturday event scheduled to be held in 2025?,truist park,Truist Park & The Battery Atlanta
What is the date for the T-Mobile Home Run Derby in 2025?,july 11,"July 14, 2025"
Where will the T-Mobile Home Run Derby be held?,truist park,Truist Park
What is the date for the MLB All-Star Game in 2025?,,"July 15, 2025"
What company is presenting the MLB All-Star Game in 2025?,guggenheim,Mastercard
Where is the MLB Speedway Classic scheduled to be held?,,Bristol Motor Speedway
What date is the MLB Speedway Classic scheduled for?,"august 17, 2025","August 2, 2025"
Which teams will play in the MLB Little League Classic in 2025?,new york life 2025 mlb pittsburgh pirates,Seattle Mariners and New York Mets
Where will the MLB Little League Classic be held?,atlanta,"Historic Bowman Field in Williamsport, Pennsylvania"
When is the MLB Little League Classic scheduled?,"when is the mlb little league classic scheduled? historic bowman fieldwilliamsport, pennsylvaniaaugust 17, 2025 starts february 20, 2025 march 27, 2025 april 15 june 1 - 2, 2025 september 15 mlb spring breakout mlb world tour : tokyo series presented by guggenheim mlb in monterrey hbcu swingman classic presented by t - mobile mlb all - star saturday t - mobile home run derby mlb all - star game presented by mastercard mlb speedway classic presented by buildsubmarines. com mlb little league classic presented by new york life estadio mobil supermonterrey, nuevo leon, mexicomarch 24 - 25, 2025","August 17, 2025"
Who is presenting the MLB Little League Classic?,t - mobile,New York Life
What is the date when the Dodgers and Cubs will play to open the 2025 MLB regular season?,march 18,"March 18-19, 2025"
Where will the opening 2025 MLB regular season games between the Dodgers and Cubs be played?,,"Tokyo Dome in Tokyo, Japan"
What is the name of the series presenting the opening games between the Dodgers and Cubs?,,Tokyo Series presented by Guggenheim
What venue will host the exhibition games between the Boston Red Sox and the Sultanes de Monterrey?,tokyo dometokyo,Estadio Mobil Super
On what dates will the Red Sox and Sultanes de Monterrey play their exhibition games?,"march 24 - 25, 2025","March 24-25, 2025"
In which country will the Red Sox and Sultanes de Monterrey exhibition games be played?,mexico,Mexico
What pitcher dealt with right lat tightness during Spring Training for the Pirates?,,David Bednar
What injury did Pirates catcher Endy Rodríguez suffer that caused him to miss the entire 2024 season?,ucl reconstruction surgery on his right elbow as well as a repair of his right flexor tendon,UCL reconstruction surgery on his right elbow
Which Pirates player suffered a partial tear of his left Achilles tendon in 2023?,andrew mccutchen,Andrew McCutchen
What injury did Oneil Cruz suffer on April 9 according to the document?,left ankle,Fractured left ankle
Which pitcher for the Pirates re-aggravated his right elbow in his first start off the injured list?,,Vince Velasquez
What type of surgery did Tucupita Marcano need to undergo?,,Season-ending surgery to repair a torn right anterior cruciate ligament
What was Ke'Bryan Hayes diagnosed with when he was placed on the 10-day IL?,lower back inflammation,Lower back inflammation
Which Pirates player underwent wrist surgery according to a February 2025 update?,spencer horwitz,Spencer Horwitz
How long was Spencer Horwitz expected to recover from his wrist surgery?,6 - 8 weeks,6-8 weeks
What injury was Johan Oviedo dealing with when placed on the 60-day IL?,right lat muscle,Right lat muscle injury
Which doctor did Johan Oviedo consult with regarding his injury?,keith meister,Dr. Keith Meister
Which Pirates prospect was rated as the organization's No. 18 prospect according to Baseball America?,bubba chandler,Omar Alfonzo
Who did the Pirates acquire from the Boston Red Sox in exchange for minor league right-handed pitcher Matt McShane?,chase shugart,Chase Shugart
Which pitcher did the Pirates acquire from Toronto in exchange for cash considerations?,brett de geus,Brett de Geus
Who was designated for assignment by Toronto on January 10 before being acquired by the Pirates?,spencer horwitz,Brett de Geus
Who did the Pirates name as their Major League Bullpen Coach in 2025?,"who did the pirates name as their major league bullpen coach in 2025? 6 ), red sox infielder kristian campbell ( no. 7 ), rays shortstop carson williams",Miguel Perez
How many seasons had Miguel Perez spent in the Pirates organization before becoming Bullpen Coach?,17,17 seasons
What position did Miguel Perez hold before becoming Bullpen Coach?,manager,Manager at Triple-A Indianapolis
Which team's Opening Day roster was Enmanuel Valdez a member of in 2024?,boston,Boston Red Sox
Who did the Pirates trade to acquire Enmanuel Valdez?,joe vogatsky,Joe Vogatsky
How many positions did Enmanuel Valdez play for his previous team?,,"65 appearances (56 starts) at second base, three appearances (one start) at first base"
Which stadium will host the Tokyo Series in 2025?,tokyo dome,Tokyo Dome
What company is naming PNC Park's Picnic Park according to the document?,alco parking corporation,Allegheny Health Network (AHN)
What gates will open two hours prior to game time at PNC Park?,the home plate club,The Home Plate Club
How early before game time do regular gates open at PNC Park for 6:40 p.m. games Monday-Thursday?,one ( 1 ) hour,One hour
Who was PNC Park designed to embrace according to the document?,courageous first responders,The progressiveness of Pittsburgh while saluting the spirit of early ballpark originals
What year did PNC Park open?,2001,Spring 2001
How many seats does PNC Park have according to the document?,"30, 43, 47, or 70","38,000"
Who handed the player of the game helmet to Erik Karlsson after the overtime win against Vegas?,tristan jarry,Tristan Jarry
What was Erik Karlsson's response when given the player of the game helmet?,,"""I would give it to you back if I could"""
When was Tristan Jarry's first NHL game action since January 14?,,Sunday in Minnesota
What team did Jarry play for after being placed on waivers?,wilkes - barre / scranton,Wilkes-Barre/Scranton of the American Hockey League
What did Bryan Rust say about Jarry's performance after the Wild game?,broke into a huge grin,"""I love that sh*t. He was awesome tonight."""
How did Coach Sullivan describe Jarry's play after the Vegas game?,aspectaculara,"Mike Sullivan used the word ""spectacular"" to describe Jarry's play"
What quality does Sullivan note about Jarry when he comes out to play a puck?,calm,"Sullivan says Jarry's handles are ""simple and efficient"""
What did Karlsson say about Jarry's attitude when returning to the team?,humble and candid,"Karlsson said Jarry ""hasn't changed one bit"" and ""believes in himself"""
Who is the Pittsburgh Penguins President of Hockey Operations and GM?,,Kyle Dubas
What are the Penguins accumulating to help return to contention?,"assets, flexibility and cap space","Assets, flexibility, and cap space"
What's unique about Pittsburgh's draft pick situation over the next three NHL Drafts?,no team has more draft picks or selections,No team has more draft picks or selections in the first three rounds over the next three NHL Drafts than Pittsburgh
"According to Dubas, what's the main question guiding the Penguins' decisions?",,What's in the best interest of the team
What does Dubas understand is not what fans are used to in Pittsburgh?,they expect the standards to be upheld,Being sellers at the trade deadline
Who are the core players that Dubas mentions specifically?,"sidney crosby, evgeni malkin and kris letang","Sidney Crosby, Evgeni Malkin, Kris Letang, Erik Karlsson, Bryan Rust, and Rickard Rakell"
What does Dubas pledge regarding the older players?,"we are going through everything we can to attempt to have them all have one last chance, or multiple",To give them one or two more chances to win while they're still on their current contracts
What message does Dubas have for Pittsburgh's roster for the rest of the season?,they expect the standards to be upheld,To uphold standards and be at their best every single day
What opportunity does Dubas highlight for players on short-term deals?,they wonat necessarily turn around and spend all of their assets this summer,A massive amount of opportunities for guys on short-term deals or with aspirations to remain in the league
What does Dubas say they won't allow to become typical?,,Being sellers at the trade deadline
What did Dubas say specifically about Rickard Rakell?,the ones whose names came up the most in trade rumors,"""He is a big part of our program"" and ""a big part of what we do"""
What did Dubas say about interest in Matt Grzelcyk at the trade deadline?,,"""There was interest, teams kicking tires, but in the end, we got through the deadline and he remains a member of our team"""
What season did Erik Karlsson join the Penguins?,,Summer of 2023
What does Dubas say about Erik Karlsson's skating ability?,,"""The skating continues to be some of the best in the league"""
What is the new music venue being built in the Lower Hill District called?,,Citizens Live at the Wylie
What is the capacity of the new music venue in the Lower Hill District?,,"4,000 people"
When was Mike Lange's passing announced?,"february 20, 2025","February 20, 2025"
"What are the dates for the ""Select-A-Seat"" event at PPG Paints Arena?",,"Saturday, March 29 from 11:00 AM to 2:00 PM"
What is the name of the bag policy at PPG Paints Arena?,cashless venue,No Bag Policy
What special perks are offered to those who lock in a full season membership?,vouchers,"Guaranteed Gate Giveaways, Customized Alternate Jersey, or 2% ""Pens"" Cash Back"
What is the deadline to purchase a new 2025-26 full season membership to be eligible for the Glass Seats Sweepstakes?,,March 28
What is required for game entry at PPG Paints Arena?,a mobile ticket must be displayed on a smartphone,A mobile ticket must be displayed on a smartphone
What payment methods are accepted at PPG Paints Arena?,credit and debit cards,Credit and debit cards as well as Apple/Google Pay are accepted
Where can reverse ATMs be found at PPG Paints Arena?,"highmark lobby, f. n. b. club, captain morgan club, sections 106, 119, 206 and 234","Highmark Lobby, F.N.B. Club, Captain Morgan Club, Sections 106, 119, 206 and 234"
What type of promotional lineup does the Pittsburgh Penguins 2024-25 home schedule feature?,expanded,"Fan-favorite gate giveaways and theme nights, as well as community + specialty games"
How many fans receive gate giveaways at Penguins games?,,"The first 7,500 fans in attendance"
On what date is the Penguins game against the New York Islanders?,,"Tuesday, March 18, 2025"
"What opponent will the Penguins face on Friday, March 21, 2025?",columbus blue jackets,Columbus Blue Jackets
"What special event is scheduled for Saturday, March 15, 2025?",,Pride Night
What team will the Penguins play for the Faith Night theme?,st. louis blues,New Jersey Devils
When is the Penguins' game against the Chicago Blackhawks?,"april 8, 2025","Tuesday, April 8, 2025"
What is the name of the Penguins' official website?,pittsburghpenguins. com,pittsburghpenguins.com
What is the name of the section on the website that covers Steelers history?,@ steelershistory,Steelers History
What team did the Steelers play in the first-ever regular season game at Croke Park in Dublin?,cleveland browns,"Chicago Bears (in 1997, a preseason game)"
In what town in Northern Ireland did the Rooney family originate?,newry,Newry
Who was asked to serve as United States Ambassador to Ireland by President Barack Obama?,dan rooney,Dan Rooney
When were the Pittsburgh Steelers awarded rights to expand their brand and activities in Ireland?,2025,"May 23, 2023"
When did the Steelers host their first-ever Watch Party at Croke Park in Dublin?,"nov. 19, 2023","Week 11 against the Cleveland Browns, on Sunday, Nov. 19, 2023"
What is the capacity of Croke Park stadium?,"82, 300","82,300"
What is the expiration date of pre-paid Visa cards available from reverse ATMs at PPG Paints Arena?,,No expiration date
"According to the Fan Code of Conduct, when should fans wait before leaving or returning to their seats?",until there is a stoppage of play,During a stoppage of play
What restaurant in Pittsburgh celebrates its 50th Fat Tuesday?,,Le Mardi Gras
"What is one of the topics discussed in the ""FREE WILL ASTROLOGY"" column?",,"The spiritual powers of light and vast darkness, and the history of computers and cars"
"Who is the author of the ""FREE WILL ASTROLOGY"" column?",,Rob Brezsny
In what district is Citizens Live at the Wylie located?,,Lower Hill District
What is the size of the Citizens Live at the Wylie venue in square feet?,,"98,500 square-foot"
"According to the text, what ethnic holiday once a quiet day of reflection became a full-throttle display of pride in cities like Pittsburgh?",,St. Patrick's Day
What did Lynn Cullen talk about regarding the Trump administration?,threats of vengeance,The breathtaking incompetence of the Trump administration
What is the name of the podcast featuring Ãlvaro Martín and Arturo Carlos?,prepa ¡ rate,El Podcast Inmaculado
What NFL team does the article mention as having lost to the Pittsburgh Steelers during a Wild Card matchup?,,Baltimore Ravens
