question,output,correct_answer
Is there an admission fee for the Millvale Music Festival?,"No, it’s not possible to tell","Yes, it's free"
What activities are available for children at the EQT Children's Theater Festival?,"scavenger hunts, brick building, STEM activities","Live performances, scavenger hunts, brick building, STEM activities and more"
How much do most activities at the EQT Children's Theater Festival cost?,$79 21 tickets remaining! Apr 03 2025 7:30 PM Thu Prices from $91 Avg. price  $137,Most activities are free of charge
How many days does the JFilm Festival run?,22-hour long festival fills a gigantic warehouse location with art and performances,11 days
What organization presents the JFilm Festival?,"film Pittsburgh. A post shared by Film Pittsburgh Jan. 19-26, 2024",Film Pittsburgh
What type of cinema does the JFilm Festival feature?,Jewish-themed films and 50+ short films spanning multiple genres,Jewish-themed independent cinema
What marks the beginning of Pride month in Pittsburgh?,a dazzling array of Jewish-themed independent cinema,Pittsburgh Pride
What performances are featured at Pittsburgh Pride?,2:00pm Mojo Hand - High-energy band with killer grooves,"Performances by local, national, and international artists"
How many artists and musicians are featured at the Dollar Bank Three Rivers Arts Festival?,"400+ artists and musicians over 10 days, this Only In Pittsburgh festival is one of the best ways to start your summer",400+ artists and musicians
How long does the Dollar Bank Three Rivers Arts Festival run?,22-hour long festival fills a gigantic warehouse location with art and performances from new and emerging artists,10 days
Is there an admission fee for the Three Rivers Arts Festival?,"free, 22-hour long festival fills a gigantic warehouse location","Yes, it's free"
What is the focus of 3 Rivers Comicon?,The City of Pittsburgh’s Independence Day celebration returns to the Point,Comics and their creators
When did 3 Rivers Comicon begin?,July 4th! 3 Rivers Comicon has been putting the comics back in comicon since 2016,2016
What is the Allegheny County Music Festival a celebration of?,Rock Reggae & Relief is a benefit music festival,All Cities and Boroughs in Allegheny County
How many days does the Allegheny County Music Festival last?,"For 10 days, explore more than 1,500 must-see exhibits, receive expert tips about home renovations and gardening",Three days
Is the Allegheny County Music Festival free to attend?,"free, three-day festival focuses on sharing great music across indoor and outdoor stages in Pittsburgh’s Northside",Yes
What is DOORS OPEN Pittsburgh designed to help attendees discover?,"The Welcome Booth also can be available to groups with fewer than 1,000 attendees for a nominal fee",What you don't know about Pittsburgh's Downtown
What types of buildings can be explored during DOORS OPEN Pittsburgh?,"Washington any evening to see why USA Weekend called this vantage point ""one of the Top 10 most beautiful views in the country.""","Sacred places, government offices, theaters, artists spaces and more"
What makes Anthrocon one of the largest conventions of its kind in the world?,the record-breaking Fursuit Parade and Block Party,It's one of the largest anthropomorphics conventions in the world
What unique parade takes place during Anthrocon?,the record-breaking Fursuit Parade and Block Party,Fursuit Parade and Block Party
Where is Pittsburgh's Independence Day celebration held?,The City of Pittsburgh’s Independence Day celebration returns to the Point on July 4th,Point State Park
What time does the Independence Day celebration at Point State Park run?,"Friday, August 17 10:00am until Sunday, Aug 18 8:00pm",4 to 10 pm
What is America's Mile and where is it set?,America's Mile is a spectacular race event open to all,A race event set against Pittsburgh's North Shore
What different types of heats does America's Mile offer?,"a spectacular race event open to all, set against Pittsburgh's breathtaking North Shore","MOVE Mile, Heroes' Mile, and Aspire Mile"
What makes the Pittsburgh Vintage Grand Prix unique compared to other vintage races?,"It’s considered by drivers to be the most challenging racecourse worldwide with its tight turns, elevation changes and natural obstacles like stone walls, curbs, manhole covers and telephone poles",It's the nation's largest vintage street race and the only one staged on public roads
Why is the Pittsburgh Vintage Grand Prix racecourse considered challenging by drivers?,"to be the most challenging racecourse worldwide with its tight turns, elevation changes and natural obstacles like stone walls, curbs, manhole covers and telephone poles","It has tight turns, elevation changes and natural obstacles"
What type of obstacles are found on the Pittsburgh Vintage Grand Prix racecourse?,"stone walls, curbs, manhole covers and telephone poles","Stone walls, curbs, manhole covers and telephone poles"
How many days does the Deutschtown Music Festival last?,"10 days, explore more than 1,500 must-see exhibits, receive expert tips about home renovations and gardening",Three days
What is the focus of the Deutschtown Music Festival?,"art and performances from new and emerging artists. This inclusive and family-friendly event features live painting, interactive exhibits",Sharing great music
Where is the Deutschtown Music Festival held?,Northside Music Festival a look at the signature festival that helps define what makes our Deutschtown neighborhood so special,Pittsburgh's Northside
Is there an admission fee for the Deutschtown Music Festival?,2025 7:05 PM Fri Prices from $25 Avg. price  $45,"Yes, it's free"
What type of convention is Tekko?,anthropomorphics conventions in the world,Japanese pop culture convention
Where is Tekko held?,the DUG East energy trade show since 2009.,David L. Lawrence Convention Center
What types of activities are available at Tekko?,"recreational, educational, and enrichment-focused programs and activities","Guest meet-n-greets, cosplay competitions, games, J-rock concerts, pachinko and more"
What is central to all that is Picklesburgh?,dill-ectable products and foods,A massive array of dill-ectable products and foods
What types of performances can be found at Picklesburgh?,live music performances to other popular activities like Pickle Cocktails,Dozens of live music performances
What unique contest is held at Picklesburgh?,the Specialty Food Festival in the Country,Pickle Juice Drinking Contest
What is the name of the National Aviary's party held in July?,Night in the Tropics! Step under the papel picado,Night in the Tropics
What type of atmosphere does Night in the Tropics create?,"a tropical celebration with show-stopping live entertainment, delicious signature island cocktails",A tropical celebration
What food options are available at Night in the Tropics?,Specialty Dishes priced for the Year Dinner,Mouth-watering bites from more than a dozen local restaurants
What recognition has Barrel and Flow Fest received according to USA Today?,first Black beer festival and second best in the nation,Second best beer festival in the nation
What is unique about Barrel and Flow Fest compared to other beer festivals?,The annual event showcases the country’s most talented Black brewers,It's the nation's first Black beer festival
What does Barrel and Flow Fest showcase?,the country’s most talented Black brewers,The country's most talented Black brewers
What is the purpose of Rock Reggae & Relief?,"provides reggae tunes, unity and feel-good vibes",To benefit and offer help to neighbors in need
Where is Rock Reggae & Relief held?,"Downtown Pittsburgh, is a benefit music festival",Downtown Pittsburgh
What all-American dessert is celebrated in Latrobe?,The Great American Banana Split Festival.,Banana Split
How long has the Banana Split Festival been a staple in Westmoreland County?,"since 2013 and, this year we celebrate its 10-year anniversary!",Since 2013
What activities are featured at the Banana Split Festival?,"candy bar bingo, crafts, face painting, games, goat yoga, and more!","Live music, goat yoga, kids activities, Yellow Tie Gala, pie-eating contest, 5k banana run"
How many days does Little Italy Days last?,"four days, and is now lasts 4 days",Four days
Where is Little Italy Days held?,"The center of the festival is near First National Bank at 4724 Liberty Ave, Pittsburgh, PA 15224",Bloomfield
Is there an admission fee for Little Italy Days?,$35.00 for first child. Includes a participation gift for all,"Yes, it's free"
What time period does the Renaissance Festival recreate?,the earliest days of the founding of The United States to the present,Medieval/Renaissance period
How often is Restaurant Week held in Pittsburgh each year?,"Annual food festivals feature ethnic or traditional foods as well as the music, dance, crafts and culture",Twice a year (Summer and Winter)
When was the Pittsburgh Soul Food Festival established?,2019–2020. The relevant information to answer the above question is: Established in 2019.,2019
How many vendors participate in the Pittsburgh Soul Food Festival?,"a post shared by Literacy Pittsburgh April 7-9, 2024 | Congregation Beth Shalom",More than 100 vendors
What does the Pittsburgh Soul Food Festival honor?,the birthplace of this all-American dessert,Pittsburgh's rich history of food service pioneers and entrepreneurs
What is the focus of the ReelAbilities Film Festival?,award-winning films through the lens of individuals living with disabilities,Films through the lens of individuals living with disabilities
What besides films is featured at the ReelAbilities Film Festival?,"impactful films, the festival also features artwork and special guests",Artwork and special guests
Which organization runs the ReelAbilities Film Festival?,The Pittsburgh Silent Film Society will host the first Pittsburgh silent film festival in Sept. 2023 with nine films screening at eight venues around the Pittsburgh area,Film Pittsburgh
How many days does the Pittsburgh Irish Festival last?,"For 10 days, explore more than 1,500 must-see exhibits, receive expert tips about home renovations and gardening, learn about the latest innovations in home technology, and find endless home inspiration",Three days
How many music stages are at the Pittsburgh Irish Festival?,"five stages, three-day festival focuses on sharing great music",Five stages
What is the Smallman Streat Fest?,"a benefit music festival that brings reggae tunes, unity and feel-good vibes to the heart of Downtown Pittsburgh",A special event with food vendors and live entertainment
How many food vendors participate in the Smallman Streat Fest?,"450+ participants in this free, 22-hour long festival",25+ food vendors
Where is the Smallman Streat Fest held?,"Downtown Pittsburgh at theatres, parks, universities and other businesses as children exercise their creativity",Historic Strip District
How many jazz musicians perform at the Pittsburgh International Jazz Festival?,4 - 3 / 4 of the following,More than 140
In what year did the Richard S. Caliguiri City of Pittsburgh Great Race begin?,"1977, when former Pittsburgh Mayor Richard S. Caliguiri established the race",1977
Who established the Great Race?,former Pittsburgh Mayor Richard S. Caliguiri,Former Pittsburgh Mayor Richard S. Caliguiri
What distinction does the Great Race hold in Pennsylvania?,The annual Richard S. Caliguiri City of Pittsburgh,It's the largest 10K race in Pennsylvania
What has the Great Race expanded to include beyond the original race?,Diversity and Inclusion - This division is committed to creating greater awareness of the City as an equal opportunity employer and providing a more inclusive working environment for City employees,"A 5K run/walk, a running clinic, the Junior Great Race, Great Race Expo"
What distinction does Reel Q hold among LGBTQ+ film festivals?,sixth oldest LGBTQ+ film festival in the world,It's the sixth oldest LGBTQ+ film festival in the world and the longest-running film festival in Pittsburgh
How long has Reel Q been running in Pittsburgh?,"10 days with a variety of programs, panels, parties and community activities","Not specifically stated, but it's described as ""annual"""
How many feature films does Reel Q typically screen?,20 locally first-run feature films and 50+ short films,Approximately 20
What does Kennywood showcase during the holiday season?,millions of festive lights and offers kid-friendly things to do,Millions of festive lights
What is the mission of Pittsburgh's Environmental Services?,to establish and maintain a refuse and recycling system that promotes,"To establish and maintain a refuse and recycling system that promotes a safe, litter-free and environmentally friendly City"
What services does Environmental Services provide to Pittsburgh residents?,"collect services to promote environmentally friendly disposal of your trash, recycling, and yard debris","Collection services for trash, recycling, and yard debris"
What is required of special event organizers expecting more than 200 individuals per day?,"Volunteer recruitment, venue recommendations, supplier recommendations and various collateral requests",To separate recyclables from municipal waste
What is the ten-digit phone number for Pittsburgh's 311 Response Center?,412.350.3328TTY/TDD,412-255-2621
Can service requests to 311 be sent anonymously?,Cancelled service requests to 311 be sent anonymously,"Yes, if you do not require a response"
How can residents reserve a park shelter in Pittsburgh?,By appointment only. Please email dpwfields&parkshelters@pittsburghpa.gov,Through the online Facility Rental website
What email address should be used to schedule a park shelter reservation if unable to use the online service?,dpwfields&parkshelters@pittsburghpa.gov,dpwfields&parkshelters@pittsburghpa.gov
"What types of licenses does the Department of Permits, Licenses, and Inspections issue?","Building, Electrical, Mechanical, Occupancy, Demolition, Fire Sprinkler, and Fire Alarm permits","Not specifically listed in the text, just mentioned generally"
What is the name of Pittsburgh's central hub for residents to apply for business licenses and permits?,2025 Pittsburgh Downtown Partnership. All Rights Reserved.,OneStopPGH
How many parks does Pittsburgh's park system include?,five city parks and several parks managed by the Nature Conservancy,176 parks
How many acres of parkland does Pittsburgh's park system cover?,"176 parks across nearly 3,800 acres.","Nearly 3,800 acres"
What are the different types of parks in Pittsburgh's system?,"Parks - Pittsburgh, PA (Web: https://www.pittsburghpa.gov/Recreation-Events/Parks)","Regional parks, community parks, and neighborhood parks"
Where is the Bank Tower located according to the contact information?,"2Pittsburgh, PA 15222","307 Fourth Avenue – Floor 2, Pittsburgh, PA 15222"
What are the types of teams mentioned that the Pittsburgh Downtown Partnership is seeking individuals to join?,Clean & Outreach Teams. Outreach ambassadors work with individuals on the streets of Downtown,Clean & Outreach Teams
What type of activities do Outreach ambassadors perform according to the document?,"Outreach utilizes printed material, traditional and social media, and personal appearances","Connecting individuals on the streets with local social service outreach programs, organizations, and helpful resources"
What is one of the tasks performed by Clean Team members?,Volunteering with our highly-acclaimed Clean Team,"Clean up litter, answer questions, and work to beautify the neighborhood"
What year is mentioned in the copyright notice at the bottom of many pages?,2017-02-03 ода,2025
What is the contact phone number for the Pittsburgh Downtown Partnership?,"412-8190Email Us Pittsburgh Downtown PartnershipThe Bank Tower307 Fourth Avenue – Floor 2Pittsburgh, PA 15222",412-566-4190
What email option is provided for contacting the Pittsburgh Downtown Partnership?,"Contact Us412-566-4190Email Us Pittsburgh Downtown PartnershipThe Bank Tower307 Fourth Avenue – Floor 2Pittsburgh, PA 15222",Email Us
Which historic building is mentioned as being located at 210 Sixth Avenue?,The Bank Tower307 Fourth Avenue – Floor 2Pittsburgh,K&L Gates Center
What is the name of the new retail space for entrepreneurs that was set to open in the fall?,"Ensemble on Fifth, set to open this fall at Steps",Ensemble on Fifth
How much investment has Downtown Pittsburgh received since 2006 according to the document?,"211,458 178,783 (32,675)",$7.48 billion
What month and day is St. Patrick's Day scheduled for in 2025?,"2:00 PM - 4:00 PM September 16, 2024","March 15, 2025"
"What volunteer opportunity is mentioned for April 26 - May 3, 2025?",volunteer service to the university or any of its alumni organizations,Redd Up Week
What is the estimated annual spending power in Downtown Pittsburgh mentioned in the document?,0.0%10.0% 20.0%20.,$160 million
How many residents are mentioned to be in Downtown Pittsburgh in the retail section?,"31,000 residents, 130,000 workers, millions of annual visitors, and capture their combined $160 million","31,000"
How many workers are mentioned to be in Downtown Pittsburgh in the retail section?,"31,000 residents, 130,000 workers, millions of annual visitors, and capture their combined $160 million in annual spending power","130,000"
What type of program does the Pittsburgh Downtown Partnership coordinate to engage with patrons?,Small Business Spotlight program to engage with patrons,Small Business Spotlight program
What is the maximum monthly rent subsidy offered in the Downtown Rent Abatement Program?,"$2,000 per month for 12 months, with a multi-year lease","$2,000 per month"
What is the cap on the number of months for the rent subsidy in the Downtown Rent Abatement Program?,"$2,000 per month for 12 months, with a multi-year lease",12 months
What is required before applying for the Downtown Rent Abatement Program?,Businesses must have a potential location identified and be in active lease negotiations at the time of submitting the application,Having a potential location identified and being in active lease negotiations
Who should potential DRAP applicants consult with before applying?,Career and Professional Development Center (CMU),PDP's Senior Director of Economic Development
What percentage of monthly rent can be subsidized through the DRAP program?,"a maximum of $2,000 per month for 12 months",Up to 50%
What type of lease is required for the Downtown Rent Abatement Program?,multi-year lease. | Answer: DRAP,Multi-year lease
Where can someone submit an event or activity for inclusion in the Downtown calendar?,"city-wide meeting hub. Use the search below to select the meeting type, year or keyword.",For free here (via the website)
What can be found on the CMU Alumni Association Board according to the document?,AAB members use their creative and volunteer experience to work closely with the Office of Alumni & Constituent Engagement,A diversity of thought
What is highlighted as a common characteristic of AAB members?,They all have one thing in common: a dedication and love,A dedication and love for CMU
What is the Carnegie Mellon quoted cutoff date for reliable knowledge?,2025 class of Tartans on the Rise CMU alumna Tori Noquez,October 2024
Who won the US Presidential election in 2024 according to the document?,"March 9, 2025 0:28 March 8, 2024 1:00 PM - 4:00 PM 14:54 December 20, 2023",Donald Trump
Who was defeated in the 2024 US Presidential election?,abraham lincoln,Kamala Harris
When was Donald Trump inaugurated according to the document?,2025 2:00 PM - 4:00 PM,"January 20, 2025"
What is the date listed for the next Downtown Development Activities Meeting?,"Thursday, March 13 at 5:00 PM via Zoom","Thursday, March 13 at 5:00 PM"
What platform will be used for the Downtown Development Activities Meeting in March?,"Mailchimp as a marketing platform. By clicking below to subscribe, you acknowledge that your information will be transferred",Zoom
What is the Meeting ID for the Downtown Development Activities Meeting in March?,a registered community organization (RCO) for Downtown,833 1176 5328
What is the passcode for the Downtown Development Activities Meeting in March?,5:00 PM (GMT) via Zoom,847867
What is the VCA mentioned in relation to volunteering?,All new volunteers must complete the VCA and review the Statement of Partnership,Volunteer Commitment Agreement
"What entity partnered with PDP to develop a ""Playbook-for-Retail-Success""?",Duquesne MBA students partnered with the PDP,Duquesne MBA students
Where is PiratesFest 2025 scheduled to be held?,The Pittsburgh Pirates today announced their lineup of Special Ticket Events for the 2025 season,David L. Lawrence Convention Center
What is presenting PiratesFest 2025?,Special Ticket Events for the 2025 season,RE/MAX Select Realty
What special access do Pirates Season Ticket Holders get for PiratesFest?,"PNC Park, plus loaded value so you can enjoy your first beverage",Early access from 9:00 a.m. to 10:00 a.m. each day
What are the general public hours for PiratesFest?,6:40 p.m. games,10 a.m. to 2 p.m.
What was the amount of investment mentioned that Downtown Pittsburgh surpassed in the last ten years in the retail environment?,$7.48 billion in new and announced investment since 2006,$4.5 billion
"What is the name of the report that gives meaning to data, statistics, and trends produced by PDP?",2025 Pittsburgh Downtown Partnership. All Rights Reserved.,State of Downtown Pittsburgh Snapshot Reports
What is the status of Carnegie Mellon Today according to the FAQ section?,"A private, global research university, Carnegie Mellon stands among the world's most renowned educational institutions",It is no longer published
During what years was Carnegie Mellon Today distributed as a web-based publication?,Carnegie Mellon University Libraries empower faculty and student scholars,From September 2015 to July 2017
What is required to access and use the CUC fitness facilities?,"CMU ID (such as students, faculty and staff)",A valid CMU ID
What time do university parking lots open to the public at no charge?,After 5 p.m. each day and during the weekends,After 5 p.m. each day and during the weekends
How many visitor parking spaces are available by prior reservation in the Alumni House parking lot?,"Two visitor parking spaces available by prior reservation in the Alumni House parking lot. To reserve one of these spaces, please call. Please limit your use of this zone to less than 5 minutes so that it remains available to others",Two
What type of email address does CMU offer to alumni?,alumni.cmu.edu email accounts,@alumni.cmu.edu email address
What powers the alumni email accounts at CMU?,full @alumni.cmu.edu email accounts,G-Suite
What feature of the alumni email accounts provides unlimited storage?,"maintain your personal calendar, store contacts and keep all messages",All messages with unlimited storage
What happens to a student's @andrew.cmu.edu email alias approximately 90 days after graduation?,The new @alumni.cmu.edu email will use your Andrew ID as your name,It will cease to function
What is the deadline mentioned for alumni to enroll in two-factor authentication for their alumni email?,"2fa by Wednesday, December 15, 2021","December 15, 2021"
What scholarship percentage is available for CMU's new online graduate certificate programs for alumni?,a scholarship for the university's new online graduate certificate programs of up to 20% of tuition,Up to 20%
What is the name of the event that has been one of the most anticipated weekends of the year for over 100 years at CMU?,the first reunion of the Class of 2024,Spring Carnival
What event allows Tartans from around the world to return to campus in the spring?,"During Spring Carnival, Tartans celebrating their Reunion year join exclusive events, opportunities to connect",Spring Carnival
What activities are mentioned as part of Spring Carnival?,"annual CMU Alumni Awards, campus tours, Buggy previews and the tailgate and football game","Booth, Buggy, MOBOT, Scotch'n'Soda performances"
When does the Pittsburgh Technology Council's HBCU Swingman Classic take place?,"UPMC Events Center on March 13, 2025","July 11, 2025"
Where is the HBCU Swingman Classic scheduled to be held?,HBCU Swingman Classic scheduled to be held at the Palace Theatre,"Truist Park in Atlanta, Georgia"
Where is the All-Star Saturday event scheduled to be held in 2025?,"Monterrey, Nuevo León, Mexico",Truist Park & The Battery Atlanta
What is the date for the T-Mobile Home Run Derby in 2025?,"August 2, 2025 (Tuesday, August 15)","July 14, 2025"
Where will the T-Mobile Home Run Derby be held?,"Truist Park, the home of the Atlanta Braves",Truist Park
What is the date for the MLB All-Star Game in 2025?,"March 13-16, 2025 The eighth annual event featuring MLB Clubs playing at Historic Bowman Field in Williamsport, PA","July 15, 2025"
What company is presenting the MLB All-Star Game in 2025?,Pirates.com/specialticketevents,Mastercard
Where is the MLB Speedway Classic scheduled to be held?,"Truist Park, the home of the Atlanta Braves",Bristol Motor Speedway
What date is the MLB Speedway Classic scheduled for?,"Sunday, August 17, 2025, between the Seattle Mariners and New York Mets","August 2, 2025"
Which teams will play in the MLB Little League Classic in 2025?,Pittsburgh Pirates and the Sultanes de Monterrey,Seattle Mariners and New York Mets
Where will the MLB Little League Classic be held?,"Truist Park, the home of the Atlanta Braves","Historic Bowman Field in Williamsport, Pennsylvania"
When is the MLB Little League Classic scheduled?,"March 27, 2025 April 15 June 1-2","August 17, 2025"
Who is presenting the MLB Little League Classic?,T-Mobile.com/A-T-L,New York Life
What is the date when the Dodgers and Cubs will play to open the 2025 MLB regular season?,"March 13-16, 2025 0:26","March 18-19, 2025"
Where will the opening 2025 MLB regular season games between the Dodgers and Cubs be played?,"Monterrey, Nuevo León, Mexico","Tokyo Dome in Tokyo, Japan"
What is the name of the series presenting the opening games between the Dodgers and Cubs?,WSH Rays TB R H E 4 7,Tokyo Series presented by Guggenheim
What venue will host the exhibition games between the Boston Red Sox and the Sultanes de Monterrey?,"Monterrey, Nuevo León",Estadio Mobil Super
On what dates will the Red Sox and Sultanes de Monterrey play their exhibition games?,"March 24-25, 2025, in Monterrey, Nuevo León","March 24-25, 2025"
In which country will the Red Sox and Sultanes de Monterrey exhibition games be played?,New York Mets and the Boston Red Sox,Mexico
What pitcher dealt with right lat tightness during Spring Training for the Pirates?,Ke'Bryan Hayes would not be able to return,David Bednar
What injury did Pirates catcher Endy Rodríguez suffer that caused him to miss the entire 2024 season?,right elbow and right flexor tendon,UCL reconstruction surgery on his right elbow
Which Pirates player suffered a partial tear of his left Achilles tendon in 2023?,Andrew McCutchen (baseball),Andrew McCutchen
What injury did Oneil Cruz suffer on April 9 according to the document?,fracturing his left ankle on April 9.,Fractured left ankle
Which pitcher for the Pirates re-aggravated his right elbow in his first start off the injured list?,Dauri Moreta -- Joey Bart,Vince Velasquez
What type of surgery did Tucupita Marcano need to undergo?,"heart-lung transplant. In 1986, UPMC announced a $230 million ($660 million today) modernization",Season-ending surgery to repair a torn right anterior cruciate ligament
What was Ke'Bryan Hayes diagnosed with when he was placed on the 10-day IL?,"lower back inflammation, a rare condition that affects the back and neck.",Lower back inflammation
Which Pirates player underwent wrist surgery according to a February 2025 update?,Ke'Bryan Hayes would not be able to return,Spencer Horwitz
How long was Spencer Horwitz expected to recover from his wrist surgery?,"6-8 weeks February 12, 2025 Share Share Email Copy link",6-8 weeks
What injury was Johan Oviedo dealing with when placed on the 60-day IL?,injury to the right lat muscle in his last live batting practice,Right lat muscle injury
Which doctor did Johan Oviedo consult with regarding his injury?,"Dr. Keith Meister, the surgeon who performed his Tommy John surgery",Dr. Keith Meister
Which Pirates prospect was rated as the organization's No. 18 prospect according to Baseball America?,Paul Skenes and Luis Gil,Omar Alfonzo
Who did the Pirates acquire from the Boston Red Sox in exchange for minor league right-handed pitcher Matt McShane?,Chase Shugart from the Boston Red Sox,Chase Shugart
Which pitcher did the Pirates acquire from Toronto in exchange for cash considerations?,Brett de Geus (pronounced duh-GUS),Brett de Geus
Who was designated for assignment by Toronto on January 10 before being acquired by the Pirates?,"Luis Ortiz, Josh Hartle and Michael Kennedy",Brett de Geus
Who did the Pirates name as their Major League Bullpen Coach in 2025?,Red Sox infielder Kristian Campbell,Miguel Perez
How many seasons had Miguel Perez spent in the Pirates organization before becoming Bullpen Coach?,17 seasons regarded as one of the most respected members,17 seasons
What position did Miguel Perez hold before becoming Bullpen Coach?,manager at Triple-A Indianapolis since 2022,Manager at Triple-A Indianapolis
Which team's Opening Day roster was Enmanuel Valdez a member of in 2024?,Boston’s Opening Day roster in 2024,Boston Red Sox
Who did the Pirates trade to acquire Enmanuel Valdez?,the Boston Red Sox in exchange for minor league right-handed pitcher Joe Vogatsky,Joe Vogatsky
How many positions did Enmanuel Valdez play for his previous team?,three appearances (one start) at The Pittsburgh Pirates,"65 appearances (56 starts) at second base, three appearances (one start) at first base"
Which stadium will host the Tokyo Series in 2025?,Grapefruit & Cactus League Stadiums,Tokyo Dome
What company is naming PNC Park's Picnic Park according to the document?,"AHN Picnic Park 115 Federal StreetPittsburgh, PA 15212412-325-4700",Allegheny Health Network (AHN)
What gates will open two hours prior to game time at PNC Park?,Gates will open one and one-half (1 12) hours before game time,The Home Plate Club
How early before game time do regular gates open at PNC Park for 6:40 p.m. games Monday-Thursday?,one and one-half (1 12) hours before game time,One hour
Who was PNC Park designed to embrace according to the document?,America's favorite pastime meets your furry companions,The progressiveness of Pittsburgh while saluting the spirit of early ballpark originals
What year did PNC Park open?,"spring 2001, is an intimate, classic-style ballpark",Spring 2001
How many seats does PNC Park have according to the document?,15-31 guests. PNC Park World Series Suites can accommodate 40-100 guests,"38,000"
Who handed the player of the game helmet to Erik Karlsson after the overtime win against Vegas?,Tristan Jarry handed the player of the game helmet,Tristan Jarry
What was Erik Karlsson's response when given the player of the game helmet?,I would give it to you back if I could,"""I would give it to you back if I could"""
When was Tristan Jarry's first NHL game action since January 14?,"Sunday in Minnesota, his first NHL game action since Jan. 14 against Seattle",Sunday in Minnesota
What team did Jarry play for after being placed on waivers?,Wilkes-Barre/Scranton,Wilkes-Barre/Scranton of the American Hockey League
What did Bryan Rust say about Jarry's performance after the Wild game?,"I love that sh*t,â the star winger said","""I love that sh*t. He was awesome tonight."""
How did Coach Sullivan describe Jarry's play after the Vegas game?,"He just looks big in the net,â Sullivan said","Mike Sullivan used the word ""spectacular"" to describe Jarry's play"
What quality does Sullivan note about Jarry when he comes out to play a puck?,He's got a calm demeanor,"Sullivan says Jarry's handles are ""simple and efficient"""
What did Karlsson say about Jarry's attitude when returning to the team?,he hasn't changed one bit,"Karlsson said Jarry ""hasn't changed one bit"" and ""believes in himself"""
Who is the Pittsburgh Penguins President of Hockey Operations and GM?,Marc-Andre Fleury Malkin,Kyle Dubas
What are the Penguins accumulating to help return to contention?,"assets, flexibility and cap space as they work to return the Penguins","Assets, flexibility, and cap space"
What's unique about Pittsburgh's draft pick situation over the next three NHL Drafts?,no team has more draft picks or selections,No team has more draft picks or selections in the first three rounds over the next three NHL Drafts than Pittsburgh
"According to Dubas, what's the main question guiding the Penguins' decisions?",the Penguins will start executing on the haul they have collected,What's in the best interest of the team
What does Dubas understand is not what fans are used to in Pittsburgh?,he's a hugely valuable player in the league,Being sellers at the trade deadline
Who are the core players that Dubas mentions specifically?,"Sidney Crosby, Evgeni Malkin and Kris Letang","Sidney Crosby, Evgeni Malkin, Kris Letang, Erik Karlsson, Bryan Rust, and Rickard Rakell"
What does Dubas pledge regarding the older players?,they wonât necessarily turn around and spend all of their assets this summer,To give them one or two more chances to win while they're still on their current contracts
What message does Dubas have for Pittsburgh's roster for the rest of the season?,that they expect the standards to be upheld,To uphold standards and be at their best every single day
What opportunity does Dubas highlight for players on short-term deals?,they wonât necessarily turn around and spend all of their assets this summer,A massive amount of opportunities for guys on short-term deals or with aspirations to remain in the league
What does Dubas say they won't allow to become typical?,a knife's edge mayoral vote and lots of judicial picks,Being sellers at the trade deadline
What did Dubas say specifically about Rickard Rakell?,"a few players, starting with the ones whose names came up the most in trade rumors","""He is a big part of our program"" and ""a big part of what we do"""
What did Dubas say about interest in Matt Grzelcyk at the trade deadline?,Kyle Dubas spoke to the media following the Trade Deadline Founding Partners,"""There was interest, teams kicking tires, but in the end, we got through the deadline and he remains a member of our team"""
What season did Erik Karlsson join the Penguins?,6:59 2:08 2:13 5:05 1:07 0:37,Summer of 2023
What does Dubas say about Erik Karlsson's skating ability?,He's a hugely valuable player in the league,"""The skating continues to be some of the best in the league"""
What is the new music venue being built in the Lower Hill District called?,"Civic Arena, which opened in 1961.[76] Other than one apartment building, none of the other buildings planned for the cultural center were ever built",Citizens Live at the Wylie
What is the capacity of the new music venue in the Lower Hill District?,"8,000 tickets remaining! Mar 18 2025","4,000 people"
When was Mike Lange's passing announced?,"February 20, 2025 Coach Sullivan speaks with the media","February 20, 2025"
"What are the dates for the ""Select-A-Seat"" event at PPG Paints Arena?",859 Aug 14 2025 7:00 PM,"Saturday, March 29 from 11:00 AM to 2:00 PM"
What is the name of the bag policy at PPG Paints Arena?,A reverse ATM will be available to convert cash to a pre-paid Visa card,No Bag Policy
What special perks are offered to those who lock in a full season membership?,Gift cards are the perfect present for any occassion,"Guaranteed Gate Giveaways, Customized Alternate Jersey, or 2% ""Pens"" Cash Back"
What is the deadline to purchase a new 2025-26 full season membership to be eligible for the Glass Seats Sweepstakes?,7:00 PM Fri Prices - 12:30 PM,March 28
What is required for game entry at PPG Paints Arena?,A mobile ticket must be displayed on a smartphone,A mobile ticket must be displayed on a smartphone
What payment methods are accepted at PPG Paints Arena?,Credit and debit cards as well as Apple/Google Pay,Credit and debit cards as well as Apple/Google Pay are accepted
Where can reverse ATMs be found at PPG Paints Arena?,"Highmark Lobby, F.N.B. Club, Captain Morgan Club","Highmark Lobby, F.N.B. Club, Captain Morgan Club, Sections 106, 119, 206 and 234"
What type of promotional lineup does the Pittsburgh Penguins 2024-25 home schedule feature?,fan-favorite gate giveaways and theme nights,"Fan-favorite gate giveaways and theme nights, as well as community + specialty games"
How many fans receive gate giveaways at Penguins games?,2025/2026. How many tickets does PPG Paints Arena have?,"The first 7,500 fans in attendance"
